Size,Type,Time
100000,Sequential,0.030371
100000,Parallel,0.094716
100000,Built-in,0.034608
100000,Sequential,0.028272
100000,Parallel,0.049848
100000,Built-in,0.033347
100000,Sequential,0.029304
100000,Parallel,0.063929
100000,Built-in,0.033853
100000,Sequential,0.029382
100000,Parallel,0.049992
100000,Built-in,0.03417
100000,Sequential,0.028961
100000,Parallel,0.044603
100000,Built-in,0.034095
100000,Sequential,0.028282
100000,Parallel,0.049307
100000,Built-in,0.033669
100000,Sequential,0.034615
100000,Parallel,0.042164
100000,Built-in,0.032727
100000,Sequential,0.028941
100000,Parallel,0.038685
100000,Built-in,0.033488
100000,Sequential,0.03158
100000,Parallel,0.048718
100000,Built-in,0.034304
100000,Sequential,0.031055
100000,Parallel,0.071657
100000,Built-in,0.03431
100000,Sequential,0.031686
100000,Parallel,0.071806
100000,Built-in,0.034797
100000,Sequential,0.030936
100000,Parallel,0.085422
100000,Built-in,0.035585
100000,Sequential,0.030961
100000,Parallel,0.057162
100000,Built-in,0.033288
100000,Sequential,0.030809
100000,Parallel,0.064196
100000,Built-in,0.033978
100000,Sequential,0.031999
100000,Parallel,0.062097
100000,Built-in,0.033042
100000,Sequential,0.031545
100000,Parallel,0.065283
100000,Built-in,0.033864
100000,Sequential,0.030826
100000,Parallel,0.087008
100000,Built-in,0.033335
100000,Sequential,0.030384
100000,Parallel,0.0872
100000,Built-in,0.035254
100000,Sequential,0.030825
100000,Parallel,0.101323
100000,Built-in,0.034124
100000,Sequential,0.031651
100000,Parallel,0.077292
100000,Built-in,0.033562
100000,Sequential,0.029926
100000,Parallel,0.073334
100000,Built-in,0.03377
100000,Sequential,0.031152
100000,Parallel,0.100864
100000,Built-in,0.034227
100000,Sequential,0.040698
100000,Parallel,0.074455
100000,Built-in,0.033732
100000,Sequential,0.028687
100000,Parallel,0.064248
100000,Built-in,0.034328
100000,Sequential,0.030101
100000,Parallel,0.086893
100000,Built-in,0.033804
100000,Sequential,0.028682
100000,Parallel,0.073265
100000,Built-in,0.033709
100000,Sequential,0.029508
100000,Parallel,0.065446
100000,Built-in,0.035349
100000,Sequential,0.029883
100000,Parallel,0.065646
100000,Built-in,0.033255
100000,Sequential,0.02927
100000,Parallel,0.095324
100000,Built-in,0.033708
100000,Sequential,0.039838
100000,Parallel,0.073215
100000,Built-in,0.035226
100000,Sequential,0.029247
100000,Parallel,0.085667
100000,Built-in,0.035127
100000,Sequential,0.042286
100000,Parallel,0.094169
100000,Built-in,0.033926
100000,Sequential,0.028598
100000,Parallel,0.077944
100000,Built-in,0.033979
100000,Sequential,0.028788
100000,Parallel,0.084621
100000,Built-in,0.034102
100000,Sequential,0.028344
100000,Parallel,0.083633
100000,Built-in,0.03399
100000,Sequential,0.029774
100000,Parallel,0.084949
100000,Built-in,0.034284
100000,Sequential,0.029092
100000,Parallel,0.115218
100000,Built-in,0.033775
100000,Sequential,0.029394
100000,Parallel,0.107669
100000,Built-in,0.03596
100000,Sequential,0.03007
100000,Parallel,0.075238
100000,Built-in,0.033696
100000,Sequential,0.030025
100000,Parallel,0.074146
100000,Built-in,0.034705
100000,Sequential,0.029239
100000,Parallel,0.089079
100000,Built-in,0.03326
100000,Sequential,0.029518
100000,Parallel,0.070785
100000,Built-in,0.038893
100000,Sequential,0.02844
100000,Parallel,0.070624
100000,Built-in,0.033154
100000,Sequential,0.040676
100000,Parallel,0.070099
100000,Built-in,0.034764
100000,Sequential,0.028289
100000,Parallel,0.072463
100000,Built-in,0.033854
100000,Sequential,0.028893
100000,Parallel,0.087864
100000,Built-in,0.034254
100000,Sequential,0.028551
100000,Parallel,0.078271
100000,Built-in,0.036576
100000,Sequential,0.03231
100000,Parallel,0.080442
100000,Built-in,0.033583
100000,Sequential,0.029335
100000,Parallel,0.066971
100000,Built-in,0.034163
100000,Sequential,0.028381
100000,Parallel,0.104155
100000,Built-in,0.033309
200000,Sequential,0.063501
200000,Parallel,0.112448
200000,Built-in,0.071119
200000,Sequential,0.061267
200000,Parallel,0.095222
200000,Built-in,0.07461
200000,Sequential,0.064667
200000,Parallel,0.097839
200000,Built-in,0.07027
200000,Sequential,0.059394
200000,Parallel,0.098099
200000,Built-in,0.069076
200000,Sequential,0.059262
200000,Parallel,0.106223
200000,Built-in,0.070014
200000,Sequential,0.060044
200000,Parallel,0.076124
200000,Built-in,0.070527
200000,Sequential,0.060917
200000,Parallel,0.148127
200000,Built-in,0.070052
200000,Sequential,0.060731
200000,Parallel,0.097788
200000,Built-in,0.07167
200000,Sequential,0.063359
200000,Parallel,0.092647
200000,Built-in,0.070702
200000,Sequential,0.060581
200000,Parallel,0.097087
200000,Built-in,0.075322
200000,Sequential,0.060173
200000,Parallel,0.106174
200000,Built-in,0.070259
200000,Sequential,0.060736
200000,Parallel,0.086855
200000,Built-in,0.070025
200000,Sequential,0.060718
200000,Parallel,0.088605
200000,Built-in,0.071713
200000,Sequential,0.061319
200000,Parallel,0.084569
200000,Built-in,0.078209
200000,Sequential,0.060685
200000,Parallel,0.092297
200000,Built-in,0.07008
200000,Sequential,0.060844
200000,Parallel,0.105997
200000,Built-in,0.072516
200000,Sequential,0.059556
200000,Parallel,0.107587
200000,Built-in,0.070231
200000,Sequential,0.060832
200000,Parallel,0.106604
200000,Built-in,0.071315
200000,Sequential,0.060311
200000,Parallel,0.126254
200000,Built-in,0.070815
200000,Sequential,0.061552
200000,Parallel,0.107649
200000,Built-in,0.070831
200000,Sequential,0.063593
200000,Parallel,0.107954
200000,Built-in,0.074511
200000,Sequential,0.061552
200000,Parallel,0.088008
200000,Built-in,0.070411
200000,Sequential,0.062716
200000,Parallel,0.089313
200000,Built-in,0.078096
200000,Sequential,0.06044
200000,Parallel,0.10798
200000,Built-in,0.070588
200000,Sequential,0.06468
200000,Parallel,0.119012
200000,Built-in,0.07027
200000,Sequential,0.06216
200000,Parallel,0.128448
200000,Built-in,0.070958
200000,Sequential,0.062536
200000,Parallel,0.11415
200000,Built-in,0.07123
200000,Sequential,0.059111
200000,Parallel,0.10496
200000,Built-in,0.071805
200000,Sequential,0.060474
200000,Parallel,0.108423
200000,Built-in,0.071654
200000,Sequential,0.058744
200000,Parallel,0.090793
200000,Built-in,0.075516
200000,Sequential,0.058585
200000,Parallel,0.097552
200000,Built-in,0.070544
200000,Sequential,0.059629
200000,Parallel,0.094546
200000,Built-in,0.070511
200000,Sequential,0.061318
200000,Parallel,0.093763
200000,Built-in,0.078004
200000,Sequential,0.060286
200000,Parallel,0.117262
200000,Built-in,0.071446
200000,Sequential,0.061591
200000,Parallel,0.094853
200000,Built-in,0.069904
200000,Sequential,0.06086
200000,Parallel,0.084942
200000,Built-in,0.069462
200000,Sequential,0.064683
200000,Parallel,0.083033
200000,Built-in,0.070452
200000,Sequential,0.060444
200000,Parallel,0.083344
200000,Built-in,0.0721
200000,Sequential,0.062063
200000,Parallel,0.0878
200000,Built-in,0.079091
200000,Sequential,0.059943
200000,Parallel,0.093356
200000,Built-in,0.070839
200000,Sequential,0.061593
200000,Parallel,0.105078
200000,Built-in,0.069046
200000,Sequential,0.060665
200000,Parallel,0.101124
200000,Built-in,0.074318
200000,Sequential,0.062144
200000,Parallel,0.12192
200000,Built-in,0.070485
200000,Sequential,0.061141
200000,Parallel,0.098717
200000,Built-in,0.069569
200000,Sequential,0.063304
200000,Parallel,0.124772
200000,Built-in,0.074368
200000,Sequential,0.060318
200000,Parallel,0.1196
200000,Built-in,0.073178
200000,Sequential,0.061343
200000,Parallel,0.100869
200000,Built-in,0.070599
200000,Sequential,0.058411
200000,Parallel,0.082081
200000,Built-in,0.070909
200000,Sequential,0.070004
200000,Parallel,0.089813
200000,Built-in,0.069218
200000,Sequential,0.059723
200000,Parallel,0.096857
200000,Built-in,0.070385
300000,Sequential,0.094739
300000,Parallel,0.127416
300000,Built-in,0.110747
300000,Sequential,0.098899
300000,Parallel,0.136362
300000,Built-in,0.109457
300000,Sequential,0.101439
300000,Parallel,0.111571
300000,Built-in,0.106814
300000,Sequential,0.097796
300000,Parallel,0.121724
300000,Built-in,0.109525
300000,Sequential,0.111177
300000,Parallel,0.120705
300000,Built-in,0.109674
300000,Sequential,0.092418
300000,Parallel,0.130582
300000,Built-in,0.110818
300000,Sequential,0.104167
300000,Parallel,0.108774
300000,Built-in,0.10636
300000,Sequential,0.093406
300000,Parallel,0.123679
300000,Built-in,0.108779
300000,Sequential,0.097708
300000,Parallel,0.119375
300000,Built-in,0.11167
300000,Sequential,0.092755
300000,Parallel,0.113293
300000,Built-in,0.107449
300000,Sequential,0.094188
300000,Parallel,0.11954
300000,Built-in,0.106757
300000,Sequential,0.092806
300000,Parallel,0.121547
